Ni,Cu,Fe,Cr,Mo,Nb,Ta,Mn,Si,Co,Al,Mg,Ti,Zr,W,V,C,B,P,S,TT,TC
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,300,16.217
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,400,18.507
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,500,21.318
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,600,23.593
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,700,28.532
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,800,28.353
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,900,30.306
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,1000,35.632
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,25,22.594
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,100,23.408
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,200,25.434
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,300,27.974
